tournament,player,round,hole,shotNumber,shotDist,toHole,location
R2026556,57366,Round_1,Hole_3,1,287 yds,169 yds,Left Rough
R2026556,57366,Round_1,Hole_3,2,184 yds,58 ft 9 in.,Left Rough
R2026556,57366,Round_1,Hole_3,3,63 ft 9 in.,4 ft 8 in.,Right Green
R2026556,57366,Round_1,Hole_3,4,4 ft 8 in.,,
R2026556,57366,Round_1,Hole_4,1,212 yds,41 ft 5 in.,Left Green
R2026556,57366,Round_1,Hole_4,2,41 ft 5 in.,,
R2026556,57366,Round_1,Hole_5,1,332 yds,77 yds,Right Fairway
R2026556,57366,Round_1,Hole_5,2,78 yds,2 ft 6 in.,Right Green
R2026556,57366,Round_1,Hole_5,3,2 ft 6 in.,,
R2026556,57366,Round_1,Hole_6,1,287 yds,127 yds,Left Bunker
R2026556,57366,Round_1,Hole_6,2,142 yds,51 ft 6 in.,Right Bunker
R2026556,57366,Round_1,Hole_6,3,56 ft 1 in.,4 ft 3 in.,Left Green
R2026556,57366,Round_1,Hole_6,4,4 ft 3 in.,,
R2026556,57366,Round_1,Hole_7,1,316 yds,165 yds,Right Fairway
R2026556,57366,Round_1,Hole_7,2,159 yds,27 ft 9 in.,Right Fairway
R2026556,57366,Round_1,Hole_7,3,27 ft 9 in.,,
R2026556,57366,Round_1,Hole_8,1,315 yds,251 yds,Right Fairway
R2026556,57366,Round_1,Hole_8,2,260 yds,79 ft 4 in.,Right Bunker
R2026556,57366,Round_1,Hole_8,3,60 ft 4 in.,21 ft 6 in.,Right Green
R2026556,57366,Round_1,Hole_8,4,18 ft 9 in.,2 ft 8 in.,Left Green
R2026556,57366,Round_1,Hole_8,5,2 ft 8 in.,,
R2026556,57366,Round_1,Hole_9,1,228 yds,16 ft 2 in.,Right Rough
R2026556,57366,Round_1,Hole_9,2,13 ft 6 in.,3 ft 1 in.,Right Green
R2026556,57366,Round_1,Hole_9,3,3 ft 1 in.,,
R2026556,57366,Round_1,Hole_10,1,311 yds,302 yds,Left Fairway
R2026556,57366,Round_1,Hole_10,2,280 yds,74 ft 11 in.,Right Rough
