courseId,courseName,courseCode,tournamentId,courseParTotal,courseYardsTotal,hole,par,yards,scoringAverage,scoringAverageDiff,scoringDiffTendency,eagles,birdies,pars,bogeys,doubleBogey,rank,pinGreenLeftToRightCoords,pinGreenBottomToTopCoords
939,Torrey Pines Golf Course (South Course),SC,R2025007,72,7765.0,6,5,564,4.444,-0.556,BELOW,10,132,98,12,0,18,"(0.321608837351887, 0.5623092305644123, -1.0)","(0.5623092305644123, 0.6783911626481129, -1.0)"
939,Torrey Pines Golf Course (South Course),SC,R2025007,72,7765.0,7,4,462,4.143,0.143,ABOVE,0,24,173,50,5,6,"(0.6103460964806273, 0.761100662792074, -1.0)","(0.761100662792074, 0.3896539035193727, -1.0)"
939,Torrey Pines Golf Course (South Course),SC,R2025007,72,7765.0,8,3,177,2.984,-0.016,BELOW,0,34,188,30,0,12,"(0.5804706047030473, 0.45388608735387664, -1.0)","(0.45388608735387664, 0.41952939529695266, -1.0)"
939,Torrey Pines Golf Course (South Course),SC,R2025007,72,7765.0,9,5,615,4.833,-0.167,BELOW,0,78,141,30,3,16,"(0.45648089381212487, 0.5663314848729936, -1.0)","(0.5663314848729936, 0.5435191061878751, -1.0)"
939,Torrey Pines Golf Course (South Course),SC,R2025007,72,7765.0,10,4,454,4.135,0.135,ABOVE,0,22,178,48,4,7,"(0.4957870807736435, 0.6846004881627744, -1.0)","(0.6846004881627744, 0.5042129192263565, -1.0)"
939,Torrey Pines Golf Course (South Course),SC,R2025007,72,7765.0,11,3,225,3.238,0.238,ABOVE,0,23,156,63,10,2,"(0.6264261189372602, 0.3438458385054727, -1.0)","(0.3438458385054727, 0.3735738810627398, -1.0)"
939,Torrey Pines Golf Course (South Course),SC,R2025007,72,7765.0,12,4,505,4.317,0.317,ABOVE,0,14,153,76,9,1,"(0.6433152431938504, 0.538721843963591, -1.0)","(0.538721843963591, 0.35668475680614964, -1.0)"
939,Torrey Pines Golf Course (South Course),SC,R2025007,72,7765.0,13,5,621,4.921,-0.079,BELOW,2,59,154,31,6,15,"(0.4209504586182023, 0.5628366934660375, -1.0)","(0.5628366934660375, 0.5790495413817978, -1.0)"
939,Torrey Pines Golf Course (South Course),SC,R2025007,72,7765.0,14,4,437,4.155,0.155,ABOVE,0,32,154,61,5,5,"(0.6723793938763355, 0.633144279128868, -1.0)","(0.633144279128868, 0.3276206061236645, -1.0)"
939,Torrey Pines Golf Course (South Course),SC,R2025007,72,7765.0,15,4,480,4.071,0.071,ABOVE,0,31,176,41,4,10,"(0.5329606214404239, 0.2538816552005593, -1.0)","(0.2538816552005593, 0.4670393785595761, -1.0)"
