tournament,tournament_id,player,player_id,round,hole,shot_number,shot_dist,to_hole,location,par,hole_yardage
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,12,4,8 in,0,In Hole,4,365
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,13,1,161 yds,5 ft 6 in.,Right Green,3,183
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,13,2,6 ft 10 in.,13 in,Right Green,3,183
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,13,3,13 in,0,In Hole,3,183
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,14,1,278 yds,221 yds,Left Water,4,485
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,14,2,Penalty,0,Intermediate Rough,4,485
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,14,3,231 yds,203 yds,Right Landscaping,4,485
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,14,4,153 yds,50 yds,Left Fairway,4,485
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,14,5,62 yds,37 ft 6 in.,Left Rough,4,485
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,14,6,37 ft 1 in.,4 ft 7 in.,Right Green,4,485
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,14,7,8 ft 2 in.,3 ft 5 in.,Right Green,4,485
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,14,8,3 ft 5 in.,0,In Hole,4,485
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,15,1,314 yds,142 yds,Right Fairway,4,470
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,15,2,141 yds,6 ft 1 in.,Left Green,4,470
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,15,3,6 ft 1 in.,0,In Hole,4,470
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,16,1,283 yds,259 yds,Right Bunker,5,537
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,16,2,162 yds,113 yds,Left Fairway,5,537
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,16,3,111 yds,30 ft 8 in.,Left Green,5,537
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,16,4,30 ft 7 in.,2 in,Right Green,5,537
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,16,5,2 in,0,In Hole,5,537
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,17,1,142 yds,12 ft 10 in.,Left Green,3,141
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,17,2,12 ft 3 in.,8 in,Left Green,3,141
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,17,3,8 in,0,In Hole,3,141
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,18,1,266 yds,183 yds,Right Fairway,4,462
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,18,2,182 yds,34 ft 0 in.,Right Fairway,4,462
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,18,3,35 ft 6 in.,13 in,Left Green,4,462
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,1,18,4,13 in,0,In Hole,4,462
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,1,1,276 yds,147 yds,Right Rough,4,424
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,1,2,108 yds,43 yds,Left Bunker,4,424
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,1,3,43 yds,0,In Hole,4,424
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,2,1,314 yds,225 yds,Left Fairway,5,555
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,2,2,220 yds,17 ft 3 in.,Left Green,5,555
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,2,3,17 ft 3 in.,0,In Hole,5,555
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,3,1,155 yds,7 ft 9 in.,Right Green,3,182
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,3,2,7 ft 9 in.,0,In Hole,3,182
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,4,1,285 yds,110 yds,Left Rough,4,387
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,4,2,117 yds,21 ft 8 in.,Right Fairway,4,387
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,4,3,22 ft 1 in.,5 in,Right Green,4,387
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,4,4,5 in,0,In Hole,4,387
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,5,1,291 yds,190 yds,Left Fairway,4,469
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,5,2,187 yds,30 ft 9 in.,Right Fairway,4,469
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,5,3,30 ft 4 in.,5 in,Right Green,4,469
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,5,4,5 in,0,In Hole,4,469
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,6,1,264 yds,142 yds,Right Tree Outline,4,413
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,6,2,153 yds,44 ft 8 in.,Left Green,4,413
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,6,3,43 ft 4 in.,23 in,Right Green,4,413
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,6,4,23 in,0,In Hole,4,413
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,7,1,292 yds,167 yds,Right Fairway,4,450
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,7,2,149 yds,52 ft 6 in.,Right Green,4,450
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,7,3,49 ft 8 in.,3 ft 1 in.,Left Green,4,450
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,7,4,3 ft 1 in.,0,In Hole,4,450
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,8,1,235 yds,7 ft 8 in.,Right Green,3,236
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,8,2,8 ft 0 in.,1 in,Right Green,3,236
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,8,3,1 in,0,In Hole,3,236
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,9,1,307 yds,278 yds,Right Fairway,5,601
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,9,2,280 yds,27 ft 7 in.,Right Green,5,601
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,9,3,27 ft 10 in.,6 in,Left Green,5,601
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,9,4,6 in,0,In Hole,5,601
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,10,1,301 yds,111 yds,Right Fairway,4,419
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,10,2,111 yds,3 ft 8 in.,Left Green,4,419
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,10,3,3 ft 8 in.,0,In Hole,4,419
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,11,1,293 yds,286 yds,Right Intermediate,5,573
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,11,2,189 yds,104 yds,Right Fairway,5,573
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,11,3,105 yds,14 ft 3 in.,Right Fairway,5,573
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,11,4,14 ft 3 in.,0,In Hole,5,573
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,12,1,257 yds,114 yds,Left Fairway,4,365
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,12,2,110 yds,10 ft 8 in.,Right Green,4,365
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,12,3,12 ft 6 in.,2 ft 0 in.,Right Green,4,365
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,12,4,2 ft 0 in.,0,In Hole,4,365
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,13,1,196 yds,54 ft 9 in.,Right Fairway,3,183
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,13,2,51 ft 3 in.,5 ft 2 in.,Left Green,3,183
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,13,3,9 ft 3 in.,3 ft 10 in.,Left Green,3,183
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,13,4,3 ft 10 in.,0,In Hole,3,183
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,14,1,302 yds,171 yds,Left Fairway,4,485
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,14,2,164 yds,35 ft 4 in.,Right Green,4,485
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,14,3,35 ft 11 in.,5 in,Left Green,4,485
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,14,4,5 in,0,In Hole,4,485
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,15,1,312 yds,134 yds,Right Fairway,4,470
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,15,2,132 yds,17 ft 4 in.,Right Fairway,4,470
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,15,3,17 ft 10 in.,15 in,Right Green,4,470
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,15,4,15 in,0,In Hole,4,470
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,16,1,304 yds,237 yds,Left Fairway,5,537
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,16,2,222 yds,52 ft 10 in.,Right Green,5,537
