tournament,player,round,hole,shotNumber,shotDist,toHole,location
R2026556,22405,Round_1,Hole_1,1,312 yds,252 yds,Right Bunker
R2026556,22405,Round_1,Hole_1,2,164 yds,91 yds,Right Fairway
R2026556,22405,Round_1,Hole_1,3,82 yds,35 ft 5 in.,Left Bunker
R2026556,22405,Round_1,Hole_1,4,34 yds,68 ft 6 in.,Right Water
R2026556,22405,Round_1,Hole_1,5,Penalty,,Fairway
R2026556,22405,Round_1,Hole_1,6,70 ft 11 in.,13 ft 0 in.,Left Fairway
R2026556,22405,Round_1,Hole_1,7,13 ft 0 in.,,
R2026556,22405,Round_1,Hole_2,1,322 yds,150 yds,Right Fairway
R2026556,22405,Round_1,Hole_2,2,148 yds,10 ft 5 in.,Right Green
R2026556,22405,Round_1,Hole_2,3,10 ft 5 in.,,
R2026556,22405,Round_1,Hole_3,1,300 yds,141 yds,Left Intermediate
R2026556,22405,Round_1,Hole_3,2,141 yds,2 ft 7 in.,Right Green
R2026556,22405,Round_1,Hole_3,3,2 ft 7 in.,,
R2026556,22405,Round_1,Hole_4,1,229 yds,41 ft 1 in.,Left Bunker
R2026556,22405,Round_1,Hole_4,2,48 ft 5 in.,16 ft 2 in.,Left Green
R2026556,22405,Round_1,Hole_4,3,16 ft 2 in.,,
R2026556,22405,Round_1,Hole_5,1,324 yds,77 yds,Left Fairway
R2026556,22405,Round_1,Hole_5,2,76 yds,19 in,Right Green
R2026556,22405,Round_1,Hole_5,3,19 in,,
R2026556,22405,Round_1,Hole_6,1,345 yds,80 yds,Right Fairway
R2026556,22405,Round_1,Hole_6,2,85 yds,20 ft 8 in.,Right Green
R2026556,22405,Round_1,Hole_6,3,20 ft 9 in.,15 in,Left Green
R2026556,22405,Round_1,Hole_6,4,15 in,,
R2026556,22405,Round_1,Hole_7,1,292 yds,202 yds,Right Water
R2026556,22405,Round_1,Hole_7,2,94 yds,142 yds,Left Fairway
R2026556,22405,Round_1,Hole_7,3,146 yds,16 ft 3 in.,Right Green
R2026556,22405,Round_1,Hole_7,4,16 ft 3 in.,,
R2026556,22405,Round_1,Hole_8,1,304 yds,273 yds,Right Rough
R2026556,22405,Round_1,Hole_8,2,73 yds,201 yds,Left Fairway
R2026556,22405,Round_1,Hole_8,3,218 yds,63 ft 10 in.,Left Water
R2026556,22405,Round_1,Hole_8,4,Penalty,,Intermediate Rough
R2026556,22405,Round_1,Hole_8,5,47 ft 8 in.,15 ft 3 in.,Left Green
