tournament,player,round,hole,shotNumber,shotDist,toHole,location
R2026556,22405,Round_1,Hole_8,6,15 ft 11 in.,6 in,Left Green
R2026556,22405,Round_1,Hole_8,7,6 in,,
R2026556,22405,Round_1,Hole_9,1,224 yds,54 ft 7 in.,Left Bunker
R2026556,22405,Round_1,Hole_9,2,50 ft 0 in.,4 ft 10 in.,Right Green
R2026556,22405,Round_1,Hole_9,3,4 ft 10 in.,,
R2026556,22405,Round_1,Hole_10,1,323 yds,319 yds,Right Bunker
R2026556,22405,Round_1,Hole_10,2,210 yds,115 yds,Right Fairway
R2026556,22405,Round_1,Hole_10,3,113 yds,5 ft 8 in.,Right Green
R2026556,22405,Round_1,Hole_10,4,5 ft 8 in.,,
R2026556,22405,Round_1,Hole_11,1,298 yds,138 yds,Right Intermediate
R2026556,22405,Round_1,Hole_11,2,134 yds,22 ft 11 in.,Left Bunker
R2026556,22405,Round_1,Hole_11,3,8 ft 1 in.,15 ft 6 in.,Left Rough
R2026556,22405,Round_1,Hole_11,4,17 ft 9 in.,23 in,Left Green
R2026556,22405,Round_1,Hole_11,5,23 in,,
R2026556,22405,Round_1,Hole_12,1,322 yds,328 yds,Right Bunker
R2026556,22405,Round_1,Hole_12,2,208 yds,132 yds,Left Fairway
R2026556,22405,Round_1,Hole_12,3,144 yds,36 ft 2 in.,Right Green
R2026556,22405,Round_1,Hole_12,4,33 ft 6 in.,2 ft 8 in.,Right Green
R2026556,22405,Round_1,Hole_12,5,2 ft 8 in.,,
R2026556,22405,Round_1,Hole_13,1,243 yds,54 ft 7 in.,Right Bunker
R2026556,22405,Round_1,Hole_13,2,54 ft 8 in.,11 in,Left Green
R2026556,22405,Round_1,Hole_13,3,11 in,,
R2026556,22405,Round_1,Hole_14,1,313 yds,169 yds,Right Fairway
R2026556,22405,Round_1,Hole_14,2,180 yds,38 ft 0 in.,Left Green
R2026556,22405,Round_1,Hole_14,3,36 ft 4 in.,22 in,Left Green
R2026556,22405,Round_1,Hole_14,4,22 in,,
R2026556,22405,Round_1,Hole_15,1,165 yds,53 ft 3 in.,Left Green
R2026556,22405,Round_1,Hole_15,2,53 ft 6 in.,2 ft 2 in.,Right Green
R2026556,22405,Round_1,Hole_15,3,2 ft 2 in.,,
R2026556,22405,Round_1,Hole_16,1,236 yds,118 yds,Right Fairway
R2026556,22405,Round_1,Hole_16,2,117 yds,15 ft 11 in.,Right Green
R2026556,22405,Round_1,Hole_16,3,17 ft 5 in.,18 in,Right Green
R2026556,22405,Round_1,Hole_16,4,18 in,,
R2026556,22405,Round_1,Hole_17,1,290 yds,168 yds,Right Fairway
R2026556,22405,Round_1,Hole_17,2,166 yds,27 ft 5 in.,Right Green
R2026556,22405,Round_1,Hole_17,3,24 ft 9 in.,2 ft 11 in.,Left Green
R2026556,22405,Round_1,Hole_17,4,2 ft 11 in.,,
R2026556,22405,Round_1,Hole_18,1,280 yds,186 yds,Right Rough
R2026556,22405,Round_1,Hole_18,2,224 yds,38 yds,Left Rough
R2026556,22405,Round_1,Hole_18,3,34 yds,14 ft 11 in.,Left Green
R2026556,22405,Round_1,Hole_18,4,15 ft 6 in.,6 in,Left Green
R2026556,22405,Round_1,Hole_18,5,6 in,,
R2026556,22405,Round_2,Hole_1,1,335 yds,234 yds,Left Fairway
R2026556,22405,Round_2,Hole_1,2,219 yds,48 ft 11 in.,Left Bunker
R2026556,22405,Round_2,Hole_1,3,59 ft 11 in.,10 ft 10 in.,Right Green
R2026556,22405,Round_2,Hole_1,4,14 ft 2 in.,3 ft 0 in.,Right Green
R2026556,22405,Round_2,Hole_1,5,3 ft 0 in.,,
R2026556,22405,Round_2,Hole_2,1,315 yds,154 yds,Right Fairway
R2026556,22405,Round_2,Hole_2,2,156 yds,12 ft 10 in.,Left Green
R2026556,22405,Round_2,Hole_2,3,13 ft 6 in.,6 in,Left Green
R2026556,22405,Round_2,Hole_2,4,6 in,,
R2026556,22405,Round_2,Hole_3,1,259 yds,152 yds,Right Fairway
R2026556,22405,Round_2,Hole_3,2,138 yds,51 ft 0 in.,Right Water
R2026556,22405,Round_2,Hole_3,3,Penalty,,Primary Rough
R2026556,22405,Round_2,Hole_3,4,41 ft 3 in.,4 ft 1 in.,Right Green
R2026556,22405,Round_2,Hole_3,5,4 ft 1 in.,,
R2026556,22405,Round_2,Hole_4,1,168 yds,13 ft 3 in.,Right Green
R2026556,22405,Round_2,Hole_4,2,15 ft 8 in.,2 ft 0 in.,Right Green
R2026556,22405,Round_2,Hole_4,3,2 ft 0 in.,,
R2026556,22405,Round_2,Hole_5,1,293 yds,116 yds,Right Fairway
R2026556,22405,Round_2,Hole_5,2,115 yds,18 ft 5 in.,Right Green
R2026556,22405,Round_2,Hole_5,3,19 ft 9 in.,22 in,Left Green
R2026556,22405,Round_2,Hole_5,4,22 in,,
R2026556,22405,Round_2,Hole_6,1,263 yds,162 yds,Right Fairway
R2026556,22405,Round_2,Hole_6,2,168 yds,45 ft 8 in.,Left Green
R2026556,22405,Round_2,Hole_6,3,48 ft 5 in.,3 ft 9 in.,Right Green
R2026556,22405,Round_2,Hole_6,4,3 ft 9 in.,,
R2026556,22405,Round_2,Hole_7,1,271 yds,205 yds,Left Bunker
R2026556,22405,Round_2,Hole_7,2,192 yds,48 ft 5 in.,Left Bunker
R2026556,22405,Round_2,Hole_7,3,50 ft 0 in.,6 ft 1 in.,Left Green
R2026556,22405,Round_2,Hole_7,4,6 ft 1 in.,,
R2026556,22405,Round_2,Hole_8,1,273 yds,277 yds,Left Rough
R2026556,22405,Round_2,Hole_8,2,142 yds,161 yds,Left Fairway
R2026556,22405,Round_2,Hole_8,3,150 yds,33 ft 3 in.,Right Bunker
R2026556,22405,Round_2,Hole_8,4,33 ft 3 in.,,
R2026556,22405,Round_2,Hole_9,1,223 yds,35 ft 8 in.,Left Bunker
R2026556,22405,Round_2,Hole_9,2,80 ft 10 in.,44 ft 11 in.,Right Rough
R2026556,22405,Round_2,Hole_9,3,46 ft 11 in.,2 ft 5 in.,Left Green
R2026556,22405,Round_2,Hole_9,4,2 ft 5 in.,,
R2026556,22405,Round_2,Hole_10,1,334 yds,239 yds,Left Rough
R2026556,22405,Round_2,Hole_10,2,230 yds,42 ft 3 in.,Left Bunker
R2026556,22405,Round_2,Hole_10,3,77 ft 1 in.,35 ft 1 in.,Left Green
R2026556,22405,Round_2,Hole_10,4,37 ft 8 in.,2 ft 11 in.,Left Green
R2026556,22405,Round_2,Hole_10,5,2 ft 11 in.,,
R2026556,22405,Round_2,Hole_11,1,301 yds,147 yds,Left Fairway
R2026556,22405,Round_2,Hole_11,2,149 yds,29 ft 0 in.,Right Bunker
R2026556,22405,Round_2,Hole_11,3,12 ft 7 in.,16 ft 8 in.,Right Rough
R2026556,22405,Round_2,Hole_11,4,12 ft 2 in.,4 ft 9 in.,Right Green
R2026556,22405,Round_2,Hole_11,5,4 ft 9 in.,,
R2026556,22405,Round_2,Hole_12,1,346 yds,264 yds,Left Rough
R2026556,22405,Round_2,Hole_12,2,209 yds,55 yds,Right Fairway
R2026556,22405,Round_2,Hole_12,3,58 yds,11 ft 11 in.,Left Green
R2026556,22405,Round_2,Hole_12,4,13 ft 4 in.,13 in,Left Green
R2026556,22405,Round_2,Hole_12,5,13 in,,
R2026556,22405,Round_2,Hole_13,1,218 yds,60 ft 10 in.,Right Bunker
R2026556,22405,Round_2,Hole_13,2,61 ft 3 in.,2 in,Right Green
R2026556,22405,Round_2,Hole_13,3,2 in,,
R2026556,22405,Round_2,Hole_14,1,274 yds,201 yds,Left Bunker
R2026556,22405,Round_2,Hole_14,2,155 yds,50 yds,Right Fairway
R2026556,22405,Round_2,Hole_14,3,46 yds,13 ft 6 in.,Right Green
R2026556,22405,Round_2,Hole_14,4,13 ft 3 in.,2 in,Right Green
R2026556,22405,Round_2,Hole_14,5,2 in,,
R2026556,22405,Round_2,Hole_15,1,154 yds,48 ft 10 in.,Right Green
R2026556,22405,Round_2,Hole_15,2,52 ft 7 in.,3 ft 5 in.,Left Green
R2026556,22405,Round_2,Hole_15,3,3 ft 5 in.,,
R2026556,22405,Round_2,Hole_16,1,285 yds,80 ft 9 in.,Right Bunker
R2026556,22405,Round_2,Hole_16,2,35 yds,25 ft 8 in.,Left Green
R2026556,22405,Round_2,Hole_16,3,25 ft 10 in.,1 in,Right Green
R2026556,22405,Round_2,Hole_16,4,1 in,,
R2026556,22405,Round_2,Hole_17,1,279 yds,198 yds,Left Rough
R2026556,22405,Round_2,Hole_17,2,179 yds,77 ft 8 in.,Right Rough
R2026556,22405,Round_2,Hole_17,3,75 ft 3 in.,3 ft 5 in.,Right Green
R2026556,22405,Round_2,Hole_17,4,3 ft 5 in.,,
R2026556,22405,Round_2,Hole_18,1,284 yds,210 yds,Right Intermediate
R2026556,22405,Round_2,Hole_18,2,189 yds,67 ft 1 in.,Left Green
R2026556,22405,Round_2,Hole_18,3,66 ft 11 in.,3 ft 3 in.,Left Green
R2026556,22405,Round_2,Hole_18,4,3 ft 3 in.,,
R2026556,22405,Round_3,Hole_1,1,327 yds,279 yds,Left Intermediate
R2026556,22405,Round_3,Hole_1,2,272 yds,22 ft 4 in.,Left Green
R2026556,22405,Round_3,Hole_1,3,26 ft 5 in.,3 ft 9 in.,Right Green
R2026556,22405,Round_3,Hole_1,4,3 ft 9 in.,,
R2026556,22405,Round_3,Hole_2,1,321 yds,150 yds,Left Rough
R2026556,22405,Round_3,Hole_2,2,138 yds,38 ft 9 in.,Left Green
R2026556,22405,Round_3,Hole_2,3,43 ft 0 in.,4 ft 4 in.,Right Green
R2026556,22405,Round_3,Hole_2,4,4 ft 4 in.,,
R2026556,22405,Round_3,Hole_3,1,280 yds,173 yds,Left Fairway
R2026556,22405,Round_3,Hole_3,2,171 yds,15 ft 9 in.,Left Green
R2026556,22405,Round_3,Hole_3,3,17 ft 7 in.,20 in,Left Green
R2026556,22405,Round_3,Hole_3,4,20 in,,
R2026556,22405,Round_3,Hole_4,1,211 yds,22 ft 5 in.,Right Rough
R2026556,22405,Round_3,Hole_4,2,22 ft 5 in.,10 in,Right Green
R2026556,22405,Round_3,Hole_4,3,10 in,,
R2026556,22405,Round_3,Hole_5,1,361 yds,51 yds,Right Fairway
R2026556,22405,Round_3,Hole_5,2,54 yds,8 ft 11 in.,Right Green
R2026556,22405,Round_3,Hole_5,3,11 ft 2 in.,22 in,Right Green
R2026556,22405,Round_3,Hole_5,4,22 in,,
R2026556,22405,Round_3,Hole_6,1,261 yds,171 yds,Right Fairway
R2026556,22405,Round_3,Hole_6,2,175 yds,12 ft 11 in.,Left Green
R2026556,22405,Round_3,Hole_6,3,14 ft 11 in.,22 in,Left Green
R2026556,22405,Round_3,Hole_6,4,22 in,,
R2026556,22405,Round_3,Hole_7,1,298 yds,151 yds,Left Fairway
R2026556,22405,Round_3,Hole_7,2,155 yds,15 ft 8 in.,Right Green
R2026556,22405,Round_3,Hole_7,3,19 ft 6 in.,3 ft 5 in.,Right Green
R2026556,22405,Round_3,Hole_7,4,3 ft 5 in.,,
R2026556,22405,Round_3,Hole_8,1,296 yds,267 yds,Right Fairway
R2026556,22405,Round_3,Hole_8,2,270 yds,45 ft 9 in.,Right Green
R2026556,22405,Round_3,Hole_8,3,49 ft 5 in.,3 ft 3 in.,Left Green
R2026556,22405,Round_3,Hole_8,4,3 ft 3 in.,,
R2026556,22405,Round_3,Hole_9,1,203 yds,58 ft 11 in.,Left Green
R2026556,22405,Round_3,Hole_9,2,70 ft 7 in.,11 ft 5 in.,Right Green
R2026556,22405,Round_3,Hole_9,3,12 ft 4 in.,7 in,Right Green
R2026556,22405,Round_3,Hole_9,4,7 in,,
R2026556,22405,Round_3,Hole_10,1,299 yds,294 yds,Right Fairway
R2026556,22405,Round_3,Hole_10,2,284 yds,52 ft 3 in.,Left Bunker
R2026556,22405,Round_3,Hole_10,3,54 ft 2 in.,5 ft 2 in.,Right Green
R2026556,22405,Round_3,Hole_10,4,5 ft 2 in.,,
R2026556,22405,Round_3,Hole_11,1,291 yds,168 yds,Right Fairway
R2026556,22405,Round_3,Hole_11,2,169 yds,37 ft 10 in.,Left Rough
R2026556,22405,Round_3,Hole_11,3,46 ft 8 in.,8 ft 10 in.,Left Green
R2026556,22405,Round_3,Hole_11,4,9 ft 7 in.,6 in,Left Green
R2026556,22405,Round_3,Hole_11,5,6 in,,
R2026556,22405,Round_3,Hole_12,1,356 yds,312 yds,Left Fairway
R2026556,22405,Round_3,Hole_12,2,321 yds,32 ft 8 in.,Right Bunker
R2026556,22405,Round_3,Hole_12,3,38 ft 0 in.,5 ft 0 in.,Right Green
R2026556,22405,Round_3,Hole_12,4,7 ft 3 in.,2 ft 2 in.,Right Green
R2026556,22405,Round_3,Hole_12,5,2 ft 2 in.,,
R2026556,22405,Round_3,Hole_13,1,201 yds,85 ft 2 in.,Right Bunker
R2026556,22405,Round_3,Hole_13,2,73 ft 8 in.,11 ft 7 in.,Left Green
R2026556,22405,Round_3,Hole_13,3,13 ft 2 in.,17 in,Left Green
R2026556,22405,Round_3,Hole_13,4,17 in,,
R2026556,22405,Round_3,Hole_14,1,295 yds,180 yds,Right Fairway
R2026556,22405,Round_3,Hole_14,2,190 yds,31 ft 4 in.,Left Green
R2026556,22405,Round_3,Hole_14,3,33 ft 2 in.,2 ft 0 in.,Left Green
R2026556,22405,Round_3,Hole_14,4,2 ft 0 in.,,
R2026556,22405,Round_3,Hole_15,1,145 yds,31 ft 1 in.,Right Green
R2026556,22405,Round_3,Hole_15,2,28 ft 8 in.,2 ft 5 in.,Right Green
R2026556,22405,Round_3,Hole_15,3,2 ft 5 in.,,
R2026556,22405,Round_3,Hole_16,1,272 yds,60 ft 9 in.,Right Bunker
R2026556,22405,Round_3,Hole_16,2,53 ft 10 in.,6 ft 11 in.,Right Green
R2026556,22405,Round_3,Hole_16,3,8 ft 3 in.,11 in,Right Green
R2026556,22405,Round_3,Hole_16,4,11 in,,
R2026556,22405,Round_3,Hole_17,1,294 yds,150 yds,Left Bunker
R2026556,22405,Round_3,Hole_17,2,139 yds,37 ft 10 in.,Left Bunker
R2026556,22405,Round_3,Hole_17,3,34 ft 4 in.,4 ft 8 in.,Left Green
R2026556,22405,Round_3,Hole_17,4,4 ft 8 in.,,
R2026556,22405,Round_3,Hole_18,1,299 yds,182 yds,Left Fairway
R2026556,22405,Round_3,Hole_18,2,194 yds,41 ft 3 in.,Left Rough
R2026556,22405,Round_3,Hole_18,3,53 ft 3 in.,11 ft 10 in.,Right Green
R2026556,22405,Round_3,Hole_18,4,11 ft 9 in.,1 in,Right Green
R2026556,22405,Round_3,Hole_18,5,1 in,,
R2026556,22405,Round_4,Hole_1,1,297 yds,290 yds,Right Fairway
R2026556,22405,Round_4,Hole_1,2,279 yds,34 ft 7 in.,Right Green
R2026556,22405,Round_4,Hole_1,3,37 ft 4 in.,3 ft 3 in.,Left Green
R2026556,22405,Round_4,Hole_1,4,3 ft 3 in.,,
R2026556,22405,Round_4,Hole_2,1,289 yds,169 yds,Right Fairway
R2026556,22405,Round_4,Hole_2,2,161 yds,25 ft 4 in.,Right Green
R2026556,22405,Round_4,Hole_2,3,25 ft 4 in.,,
R2026556,22405,Round_4,Hole_3,1,274 yds,191 yds,Left Rough
R2026556,22405,Round_4,Hole_3,2,195 yds,40 ft 2 in.,Left Green
R2026556,22405,Round_4,Hole_3,3,43 ft 9 in.,3 ft 2 in.,Right Green
R2026556,22405,Round_4,Hole_3,4,3 ft 2 in.,,
R2026556,22405,Round_4,Hole_4,1,196 yds,53 ft 1 in.,Left Green
R2026556,22405,Round_4,Hole_4,2,52 ft 5 in.,17 in,Left Green
R2026556,22405,Round_4,Hole_4,3,17 in,,
R2026556,22405,Round_4,Hole_5,1,305 yds,99 yds,Right Fairway
R2026556,22405,Round_4,Hole_5,2,114 yds,45 ft 5 in.,Left Rough
R2026556,22405,Round_4,Hole_5,3,62 ft 1 in.,17 ft 7 in.,Left Green
R2026556,22405,Round_4,Hole_5,4,17 ft 7 in.,,
R2026556,22405,Round_4,Hole_6,1,324 yds,122 yds,Right Intermediate
R2026556,22405,Round_4,Hole_6,2,124 yds,10 ft 6 in.,Left Green
R2026556,22405,Round_4,Hole_6,3,12 ft 1 in.,16 in,Right Green
R2026556,22405,Round_4,Hole_6,4,16 in,,
R2026556,22405,Round_4,Hole_7,1,277 yds,195 yds,Left Fairway
R2026556,22405,Round_4,Hole_7,2,194 yds,27 ft 3 in.,Right Green
R2026556,22405,Round_4,Hole_7,3,30 ft 7 in.,2 ft 11 in.,Right Green
R2026556,22405,Round_4,Hole_7,4,2 ft 11 in.,,
R2026556,22405,Round_4,Hole_8,1,320 yds,268 yds,Right Fairway
R2026556,22405,Round_4,Hole_8,2,245 yds,34 yds,Right Bunker
R2026556,22405,Round_4,Hole_8,3,90 ft 7 in.,13 ft 0 in.,Right Green
R2026556,22405,Round_4,Hole_8,4,14 ft 1 in.,9 in,Left Green
R2026556,22405,Round_4,Hole_8,5,9 in,,
R2026556,22405,Round_4,Hole_9,1,217 yds,21 ft 2 in.,Left Green
R2026556,22405,Round_4,Hole_9,2,20 ft 9 in.,16 in,Right Green
R2026556,22405,Round_4,Hole_9,3,16 in,,
R2026556,22405,Round_4,Hole_10,1,307 yds,340 yds,Right Rough
R2026556,22405,Round_4,Hole_10,2,223 yds,118 yds,Right Intermediate
R2026556,22405,Round_4,Hole_10,3,115 yds,9 ft 5 in.,Left Green
R2026556,22405,Round_4,Hole_10,4,11 ft 0 in.,15 in,Left Green
R2026556,22405,Round_4,Hole_10,5,15 in,,
R2026556,22405,Round_4,Hole_11,1,282 yds,178 yds,Right Bunker
R2026556,22405,Round_4,Hole_11,2,170 yds,24 ft 1 in.,Right Green
R2026556,22405,Round_4,Hole_11,3,26 ft 6 in.,2 ft 1 in.,Right Green
R2026556,22405,Round_4,Hole_11,4,2 ft 1 in.,,
R2026556,22405,Round_4,Hole_12,1,295 yds,287 yds,Right Fairway
R2026556,22405,Round_4,Hole_12,2,270 yds,77 ft 7 in.,Right Rough
R2026556,22405,Round_4,Hole_12,3,54 ft 10 in.,23 ft 5 in.,Right Rough
R2026556,22405,Round_4,Hole_12,4,25 ft 5 in.,2 ft 5 in.,Left Green
R2026556,22405,Round_4,Hole_12,5,2 ft 5 in.,,
R2026556,22405,Round_4,Hole_13,1,234 yds,21 ft 1 in.,Right Fairway
R2026556,22405,Round_4,Hole_13,2,18 ft 8 in.,2 ft 6 in.,Right Green
R2026556,22405,Round_4,Hole_13,3,2 ft 6 in.,,
R2026556,22405,Round_4,Hole_14,1,311 yds,153 yds,Left Intermediate
R2026556,22405,Round_4,Hole_14,2,146 yds,19 ft 8 in.,Right Green
R2026556,22405,Round_4,Hole_14,3,22 ft 4 in.,2 ft 6 in.,Right Green
R2026556,22405,Round_4,Hole_14,4,2 ft 6 in.,,
R2026556,22405,Round_4,Hole_15,1,138 yds,11 ft 3 in.,Left Green
R2026556,22405,Round_4,Hole_15,2,12 ft 5 in.,12 in,Left Green
R2026556,22405,Round_4,Hole_15,3,12 in,,
R2026556,22405,Round_4,Hole_16,1,321 yds,34 yds,Right Bunker
R2026556,22405,Round_4,Hole_16,2,85 ft 10 in.,15 ft 8 in.,Left Green
R2026556,22405,Round_4,Hole_16,3,15 ft 8 in.,,
R2026556,22405,Round_4,Hole_17,1,316 yds,159 yds,Left Rough
R2026556,22405,Round_4,Hole_17,2,163 yds,13 ft 4 in.,Right Green
R2026556,22405,Round_4,Hole_17,3,13 ft 4 in.,,
R2026556,22405,Round_4,Hole_18,1,340 yds,138 yds,Right Fairway
R2026556,22405,Round_4,Hole_18,2,143 yds,19 ft 6 in.,Right Green
R2026556,22405,Round_4,Hole_18,3,20 ft 2 in.,14 in,Left Green
R2026556,22405,Round_4,Hole_18,4,14 in,,
R2026556,24502,Round_1,Hole_1,1,307 yds,261 yds,Left Fairway
R2026556,24502,Round_1,Hole_1,2,248 yds,44 ft 1 in.,Left Bunker
R2026556,24502,Round_1,Hole_1,3,50 ft 11 in.,7 ft 0 in.,Left Green
R2026556,24502,Round_1,Hole_1,4,10 ft 11 in.,3 ft 7 in.,Left Green
R2026556,24502,Round_1,Hole_1,5,3 ft 7 in.,,
R2026556,24502,Round_1,Hole_2,1,324 yds,150 yds,Left Fairway
R2026556,24502,Round_1,Hole_2,2,150 yds,13 ft 3 in.,Right Green
R2026556,24502,Round_1,Hole_2,3,13 ft 3 in.,,
R2026556,24502,Round_1,Hole_3,1,289 yds,140 yds,Right Intermediate
R2026556,24502,Round_1,Hole_3,2,144 yds,11 ft 9 in.,Right Green
R2026556,24502,Round_1,Hole_3,3,13 ft 3 in.,13 in,Right Green
R2026556,24502,Round_1,Hole_3,4,13 in,,
R2026556,24502,Round_1,Hole_4,1,221 yds,43 ft 4 in.,Left Bunker
R2026556,24502,Round_1,Hole_4,2,48 ft 5 in.,4 ft 8 in.,Left Green
R2026556,24502,Round_1,Hole_4,3,6 ft 10 in.,21 in,Left Green
R2026556,24502,Round_1,Hole_4,4,21 in,,
R2026556,24502,Round_1,Hole_5,1,329 yds,84 yds,Right Fairway
R2026556,24502,Round_1,Hole_5,2,83 yds,9 ft 8 in.,Right Green
R2026556,24502,Round_1,Hole_5,3,9 ft 8 in.,,
R2026556,24502,Round_1,Hole_6,1,301 yds,114 yds,Left Bunker
R2026556,24502,Round_1,Hole_6,2,108 yds,31 ft 3 in.,Left Green
R2026556,24502,Round_1,Hole_6,3,30 ft 8 in.,9 in,Left Green
R2026556,24502,Round_1,Hole_6,4,9 in,,
R2026556,24502,Round_1,Hole_7,1,278 yds,205 yds,Left Bunker
R2026556,24502,Round_1,Hole_7,2,81 yds,126 yds,Left Fairway
R2026556,24502,Round_1,Hole_7,3,128 yds,8 ft 6 in.,Right Green
R2026556,24502,Round_1,Hole_7,4,11 ft 5 in.,2 ft 8 in.,Right Green
R2026556,24502,Round_1,Hole_7,5,2 ft 8 in.,,
R2026556,24502,Round_1,Hole_8,1,317 yds,243 yds,Left Rough
R2026556,24502,Round_1,Hole_8,2,Penalty,,Primary Rough
R2026556,24502,Round_1,Hole_8,3,Penalty,,Primary Rough
R2026556,24502,Round_1,Hole_8,4,141 yds,147 yds,Right Rough
R2026556,24502,Round_1,Hole_8,5,152 yds,15 ft 1 in.,Left Green
R2026556,24502,Round_1,Hole_8,6,16 ft 7 in.,14 in,Left Green
R2026556,24502,Round_1,Hole_8,7,14 in,,
R2026556,24502,Round_1,Hole_9,1,211 yds,40 ft 10 in.,Left Green
R2026556,24502,Round_1,Hole_9,2,41 ft 6 in.,3 in,Right Green
R2026556,24502,Round_1,Hole_9,3,3 in,,
R2026556,24502,Round_1,Hole_10,1,322 yds,296 yds,Right Fairway
R2026556,24502,Round_1,Hole_10,2,276 yds,67 ft 8 in.,Right Rough
R2026556,24502,Round_1,Hole_10,3,69 ft 4 in.,10 ft 8 in.,Left Green
R2026556,24502,Round_1,Hole_10,4,11 ft 0 in.,7 in,Right Green
R2026556,24502,Round_1,Hole_10,5,7 in,,
R2026556,24502,Round_1,Hole_11,1,311 yds,124 yds,Right Bunker
R2026556,24502,Round_1,Hole_11,2,128 yds,11 ft 9 in.,Left Green
R2026556,24502,Round_1,Hole_11,3,16 ft 0 in.,3 ft 11 in.,Left Green
R2026556,24502,Round_1,Hole_11,4,3 ft 11 in.,,
R2026556,24502,Round_1,Hole_12,1,351 yds,301 yds,Left Fairway
R2026556,24502,Round_1,Hole_12,2,290 yds,36 ft 4 in.,Right Bunker
R2026556,24502,Round_1,Hole_12,3,49 ft 6 in.,12 ft 10 in.,Right Green
R2026556,24502,Round_1,Hole_12,4,14 ft 1 in.,10 in,Right Green
R2026556,24502,Round_1,Hole_12,5,10 in,,
R2026556,24502,Round_1,Hole_13,1,232 yds,40 ft 2 in.,Right Green
R2026556,24502,Round_1,Hole_13,2,41 ft 6 in.,11 in,Left Green
R2026556,24502,Round_1,Hole_13,3,11 in,,
R2026556,24502,Round_1,Hole_14,1,306 yds,182 yds,Right Intermediate
R2026556,24502,Round_1,Hole_14,2,172 yds,33 ft 9 in.,Left Green
R2026556,24502,Round_1,Hole_14,3,30 ft 8 in.,3 ft 4 in.,Left Green
R2026556,24502,Round_1,Hole_14,4,3 ft 4 in.,,
R2026556,24502,Round_1,Hole_15,1,160 yds,28 ft 1 in.,Right Green
R2026556,24502,Round_1,Hole_15,2,35 ft 0 in.,6 ft 8 in.,Right Green
R2026556,24502,Round_1,Hole_15,3,6 ft 8 in.,,
R2026556,24502,Round_1,Hole_16,1,229 yds,117 yds,Left Fairway
R2026556,24502,Round_1,Hole_16,2,125 yds,28 ft 2 in.,Right Green
R2026556,24502,Round_1,Hole_16,3,28 ft 6 in.,16 in,Right Green
R2026556,24502,Round_1,Hole_16,4,16 in,,
R2026556,24502,Round_1,Hole_17,1,285 yds,172 yds,Right Rough
R2026556,24502,Round_1,Hole_17,2,219 yds,47 yds,Left Rough
R2026556,24502,Round_1,Hole_17,3,51 yds,11 ft 2 in.,Left Green
R2026556,24502,Round_1,Hole_17,4,11 ft 5 in.,4 in,Left Green
R2026556,24502,Round_1,Hole_17,5,4 in,,
R2026556,24502,Round_1,Hole_18,1,277 yds,173 yds,Left Water
R2026556,24502,Round_1,Hole_18,2,Penalty,,Fairway
