tournament,player,round,hole,shotNumber,shotDist,toHole,location
R2026556,22405,Round_1,Hole_1,1,297 yds,184 yds,Right Fairway
R2026556,22405,Round_1,Hole_1,2,179 yds,50 ft 7 in.,Left Bunker
R2026556,22405,Round_1,Hole_1,3,49 ft 2 in.,4 ft 2 in.,Right Green
R2026556,22405,Round_1,Hole_1,4,4 ft 2 in.,,
R2026556,22405,Round_1,Hole_2,1,297 yds,154 yds,Left Fairway
R2026556,22405,Round_1,Hole_2,2,161 yds,21 ft 11 in.,Right Green
R2026556,22405,Round_1,Hole_2,3,21 ft 6 in.,7 in,Right Green
R2026556,22405,Round_1,Hole_2,4,7 in,,
R2026556,22405,Round_1,Hole_3,1,241 yds,159 yds,Right Fairway
R2026556,22405,Round_1,Hole_3,2,156 yds,46 ft 5 in.,Left Rough
R2026556,22405,Round_1,Hole_3,3,14 ft 4 in.,32 ft 2 in.,Left Rough
R2026556,22405,Round_1,Hole_3,4,36 ft 5 in.,4 ft 0 in.,Right Green
R2026556,22405,Round_1,Hole_3,5,4 ft 0 in.,,
R2026556,22405,Round_1,Hole_4,1,204 yds,22 in,Left Green
R2026556,22405,Round_1,Hole_4,2,22 in,,
R2026556,22405,Round_1,Hole_5,1,290 yds,245 yds,Left Fairway
R2026556,22405,Round_1,Hole_5,2,217 yds,50 yds,Right Fairway
R2026556,22405,Round_1,Hole_5,3,51 yds,3 ft 5 in.,Left Green
R2026556,22405,Round_1,Hole_5,4,3 ft 5 in.,,
R2026556,22405,Round_1,Hole_6,1,289 yds,168 yds,Right Fairway
R2026556,22405,Round_1,Hole_6,2,160 yds,27 ft 0 in.,Left Green
R2026556,22405,Round_1,Hole_6,3,27 ft 0 in.,,
R2026556,22405,Round_1,Hole_7,1,289 yds,288 yds,Right Rough
R2026556,22405,Round_1,Hole_7,2,122 yds,170 yds,Right Fairway
R2026556,22405,Round_1,Hole_7,3,166 yds,33 ft 10 in.,Right Bunker
R2026556,22405,Round_1,Hole_7,4,42 ft 7 in.,8 ft 6 in.,Right Green
R2026556,22405,Round_1,Hole_7,5,8 ft 6 in.,,
R2026556,22405,Round_1,Hole_8,1,215 yds,18 ft 10 in.,Left Rough
R2026556,22405,Round_1,Hole_8,2,18 ft 2 in.,8 in,Left Green
R2026556,22405,Round_1,Hole_8,3,8 in,,
R2026556,22405,Round_1,Hole_9,1,245 yds,177 yds,Right Fairway
R2026556,22405,Round_1,Hole_9,2,169 yds,38 ft 3 in.,Right Green
R2026556,22405,Round_1,Hole_9,3,45 ft 11 in.,7 ft 4 in.,Right Green
R2026556,22405,Round_1,Hole_9,4,10 ft 6 in.,2 ft 11 in.,Right Green
R2026556,22405,Round_1,Hole_9,5,2 ft 11 in.,,
R2026556,22405,Round_1,Hole_10,1,287 yds,175 yds,Right Fairway
R2026556,22405,Round_1,Hole_10,2,177 yds,34 ft 4 in.,Left Bunker
R2026556,22405,Round_1,Hole_10,3,53 ft 11 in.,19 ft 10 in.,Left Green
R2026556,22405,Round_1,Hole_10,4,22 ft 8 in.,2 ft 6 in.,Left Green
R2026556,22405,Round_1,Hole_10,5,2 ft 6 in.,,
R2026556,22405,Round_1,Hole_11,1,292 yds,301 yds,Right Fairway
R2026556,22405,Round_1,Hole_11,2,203 yds,104 yds,Left Fairway
R2026556,22405,Round_1,Hole_11,3,99 yds,25 ft 5 in.,Left Green
R2026556,22405,Round_1,Hole_11,4,29 ft 0 in.,3 ft 2 in.,Right Green
R2026556,22405,Round_1,Hole_11,5,3 ft 2 in.,,
R2026556,22405,Round_1,Hole_12,1,156 yds,29 ft 5 in.,Left Water
R2026556,22405,Round_1,Hole_12,2,Penalty,,Other
R2026556,22405,Round_1,Hole_12,3,84 yds,17 ft 9 in.,Left Green
R2026556,22405,Round_1,Hole_12,4,21 ft 6 in.,3 ft 6 in.,Left Green
R2026556,22405,Round_1,Hole_12,5,3 ft 6 in.,,
R2026556,22405,Round_1,Hole_13,1,301 yds,147 yds,Left Fairway
R2026556,22405,Round_1,Hole_13,2,148 yds,56 ft 1 in.,Right Bunker
R2026556,22405,Round_1,Hole_13,3,53 ft 2 in.,3 ft 10 in.,Left Green
R2026556,22405,Round_1,Hole_13,4,3 ft 10 in.,,
R2026556,22405,Round_1,Hole_14,1,243 yds,124 yds,Right Fairway
R2026556,22405,Round_1,Hole_14,2,136 yds,35 ft 10 in.,Right Rough
R2026556,22405,Round_1,Hole_14,3,36 ft 2 in.,4 ft 11 in.,Right Green
R2026556,22405,Round_1,Hole_14,4,4 ft 11 in.,,
R2026556,22405,Round_1,Hole_15,1,272 yds,280 yds,Right Rough
R2026556,22405,Round_1,Hole_15,2,166 yds,125 yds,Left Intermediate
R2026556,22405,Round_1,Hole_15,3,123 yds,20 ft 11 in.,Left Green
R2026556,22405,Round_1,Hole_15,4,26 ft 0 in.,4 ft 7 in.,Right Green
R2026556,22405,Round_1,Hole_15,5,4 ft 7 in.,,
R2026556,22405,Round_1,Hole_16,1,200 yds,45 ft 8 in.,Right Green
R2026556,22405,Round_1,Hole_16,2,52 ft 3 in.,7 ft 2 in.,Left Green
R2026556,22405,Round_1,Hole_16,3,7 ft 2 in.,,
R2026556,22405,Round_1,Hole_17,1,295 yds,199 yds,Right Fairway
R2026556,22405,Round_1,Hole_17,2,190 yds,37 ft 5 in.,Left Rough
R2026556,22405,Round_1,Hole_17,3,40 yds,84 ft 4 in.,Left Rough
R2026556,22405,Round_1,Hole_17,4,15 ft 6 in.,70 ft 10 in.,Right Rough
R2026556,22405,Round_1,Hole_17,5,85 ft 9 in.,14 ft 9 in.,Left Green
R2026556,22405,Round_1,Hole_17,6,18 ft 9 in.,3 ft 10 in.,Left Green
R2026556,22405,Round_1,Hole_17,7,3 ft 10 in.,,
R2026556,22405,Round_1,Hole_18,1,312 yds,190 yds,Left Water
R2026556,22405,Round_1,Hole_18,2,Penalty,,Primary Rough
R2026556,22405,Round_1,Hole_18,3,182 yds,45 ft 9 in.,Right Green
